State Name,1-unit Units,2-units Units,3-4 units Units,5+ units Units,year
Utah,24423,480,879,13276,2021
Vermont,1361,132,20,806,2021
Virginia,25118,502,156,13612,2021
Virgin Islands,93,68,7,0,2021
Washington,25076,1534,1486,28845,2021
West Virginia,3112,84,18,478,2021
Wisconsin,13199,1450,103,10692,2021
Wyoming,2158,96,165,287,2021
United States,1115360,31760,21093,568769,2021
Northeast Region,65006,4720,3412,91622,2021
Midwest Region,142917,6258,3771,74654,2021
South Region,655212,12264,6289,243768,2021
West Region,252225,8518,7621,158725,2021
New England Division,21230,1502,727,16178,2021
Middle Atlantic Division,43776,3218,2685,75444,2021
East North Central Division,83627,3458,2001,38026,2021
West North Central Division,59290,2800,1770,36628,2021
South Atlantic Division,362441,5624,2430,130592,2021
East South Central Division,72336,708,1000,28369,2021
West South Central Division,220435,5932,2859,84807,2021
Mountain Division,144471,4016,4138,71160,2021
Pacific Division,107754,4502,3483,87565,2021
Alabama,15968,228,139,3171,2022
Alaska,471,44,18,45,2022
Arizona,37348,1868,320,21458,2022
Arkansas,9465,600,582,3709,2022
California,63717,2608,1778,51564,2022
Colorado,23728,992,539,23580,2022
Connecticut,2440,252,40,2920,2022
Delaware,5855,176,0,386,2022
District of Columbia,409,64,4,7228,2022
Florida,134350,2630,1846,73136,2022
Georgia,47022,712,930,28558,2022
Hawaii,2023,212,0,2095,2022
Idaho,11943,286,851,5657,2022
Illinois,9766,396,864,9524,2022
Indiana,18675,504,137,8958,2022
Iowa,7631,510,354,4216,2022
Kansas,5567,950,260,2783,2022
Kentucky,8755,492,282,5521,2022
Louisiana,13727,606,58,1879,2022
Maine,4918,226,95,1866,2022
Maryland,9760,96,40,9450,2022
Massachusetts,6195,634,375,10488,2022
Michigan,15015,406,596,5966,2022
Minnesota,13453,254,298,17091,2022
Mississippi,7020,50,63,453,2022
Missouri,11631,600,592,8140,2022
Montana,3187,248,264,2758,2022
Nebraska,5071,322,282,5438,2022
Nevada,12419,228,267,7117,2022
New Hampshire,3129,184,154,1316,2022
New Jersey,13184,1232,693,21865,2022
New Mexico,7254,20,31,1533,2022
New York,11057,728,529,29658,2022
North Carolina,65193,702,124,25833,2022
North Dakota,1964,134,70,1277,2022
Ohio,17440,542,1198,11733,2022
Oklahoma,10942,692,98,2003,2022
Oregon,10312,436,188,9385,2022
Pennsylvania,18250,606,735,8417,2022
Rhode Island,959,150,58,204,2022
South Carolina,37906,306,509,7149,2022
South Dakota,3917,108,324,5072,2022
Tennessee,33213,514,939,17846,2022
Texas,154854,4070,3294,100836,2022
Utah,19132,294,512,11811,2022
Vermont,1327,116,42,817,2022
Virginia,21130,360,86,18125,2022
Virgin Islands,93,68,7,0,2022
Washington,20401,1420,1365,25847,2022
West Virginia,2947,86,15,358,2022
Wisconsin,11620,1650,163,7639,2022
Wyoming,1924,82,204,794,2022
United States,975584,31626,23205,634673,2022
Northeast Region,61459,4128,2721,77551,2022
Midwest Region,121750,6376,5138,87837,2022
South Region,578516,12384,9009,305641,2022
West Region,213859,8738,6337,163644,2022
New England Division,18968,1562,764,17611,2022
Middle Atlantic Division,42491,2566,1957,59940,2022
East North Central Division,72516,3498,2958,43820,2022
West North Central Division,49234,2878,2180,44017,2022
South Atlantic Division,324572,5132,3554,170223,2022
East South Central Division,64956,1284,1423,26991,2022
West South Central Division,188988,5968,4032,108427,2022
Mountain Division,116935,4018,2988,74708,2022
Pacific Division,96924,4720,3349,88936,2022
