year,NAME,vacancy_rate
2017,"La Crosse-Onalaska, WI-MN Metro Area",3.4
2017,"Lafayette, LA Metro Area",8.8
2017,"Lafayette-West Lafayette, IN Metro Area",4.1
2017,"Lake Charles, LA Metro Area",10.6
2017,"Lake Havasu City-Kingman, AZ Metro Area",5.2
2017,"Lakeland-Winter Haven, FL Metro Area",5.2
2017,"Lancaster, PA Metro Area",2.9
2017,"Lansing-East Lansing, MI Metro Area",4.2
2017,"Laredo, TX Metro Area",9.8
2017,"Las Cruces, NM Metro Area",11.5
2017,"Las Vegas-Henderson-Paradise, NV Metro Area",7.4
2017,"Lawrence, KS Metro Area",7.6
2017,"Lawton, OK Metro Area",8.7
2017,"Lebanon, PA Metro Area",5.3
2017,"Lewiston, ID-WA Metro Area",13.8
2017,"Lewiston-Auburn, ME Metro Area",2.2
2017,"Lexington-Fayette, KY Metro Area",3.9
2017,"Lima, OH Metro Area",4.7
2017,"Lincoln, NE Metro Area",5.8
2017,"Little Rock-North Little Rock-Conway, AR Metro Area",11.6
2017,"Logan, UT-ID Metro Area",1
2017,"Longview, TX Metro Area",10.3
2017,"Longview, WA Metro Area",0.4
2017,"Los Angeles-Long Beach-Anaheim, CA Metro Area",3.2
2017,"Louisville/Jefferson County, KY-IN Metro Area",6.8
2017,"Lubbock, TX Metro Area",9.1
2017,"Lynchburg, VA Metro Area",5.3
2017,"Macon-Bibb County, GA Metro Area",6.9
2017,"Madera, CA Metro Area",2.2
2017,"Madison, WI Metro Area",4.3
2017,"Manchester-Nashua, NH Metro Area",3
2017,"Manhattan, KS Metro Area",10.7
2017,"Mankato-North Mankato, MN Metro Area",8.1
2017,"Mansfield, OH Metro Area",3.7
2017,"Mayagüez, PR Metro Area",9.8
2017,"McAllen-Edinburg-Mission, TX Metro Area",7.4
2017,"Medford, OR Metro Area",1.6
2017,"Memphis, TN-MS-AR Metro Area",8.8
2017,"Merced, CA Metro Area",4.2
