CBSA Name,1-unit Units,2-units Units,3-4 units Units,5+ units Units,year
Owensboro  KY,219,16,7,5,2022
Palm Bay-Melbourne-Titusville  FL,4255,2,36,965,2022
Panama City  FL,2104,16,9,159,2022
Peoria  IL,169,2,0,120,2022
Pittsfield  MA,112,10,4,0,2022
Pocatello  ID,284,24,113,121,2022
Prescott Valley-Prescott  AZ,1745,140,0,481,2022
Richmond  VA,4503,132,13,5766,2022
Roanoke  VA,452,4,0,315,2022
St. George  UT,2486,0,40,670,2022
Salinas  CA,611,18,63,394,2022
San Angelo  TX,322,0,0,0,2022
San Diego-Chula Vista-Carlsbad  CA,3517,114,374,5341,2022
San Luis Obispo-Paso Robles  CA,634,22,36,419,2022
Santa Maria-Santa Barbara  CA,376,8,23,689,2022
Scranton--Wilkes-Barre  PA,525,26,12,46,2022
Sebring-Avon Park  FL,641,22,0,0,2022
Sheboygan  WI,118,28,0,0,2022
Sierra Vista-Douglas  AZ,508,2,11,8,2022
Sioux City  IA-NE-SD,282,4,34,129,2022
Sioux Falls  SD,1626,24,234,3670,2022
Springfield  MA,431,30,4,275,2022
Springfield  MO,1415,44,18,229,2022
Sumter  SC,402,64,0,36,2022
Tallahassee  FL,1393,18,0,1645,2022
Tampa-St. Petersburg-Clearwater  FL,15678,200,798,13293,2022
Terre Haute  IN,118,20,24,54,2022
Texarkana  TX-AR,130,18,8,5,2022
Topeka  KS,413,16,0,0,2022
Tuscaloosa  AL,714,4,54,271,2022
Twin Falls  ID,483,22,0,100,2022
Urban Honolulu  HI,652,144,0,1757,2022
Utica-Rome  NY,244,0,4,76,2022
Valdosta  GA,1280,22,0,0,2022
Visalia  CA,1420,46,0,919,2022
Waco  TX,920,50,0,379,2022
Waterloo-Cedar Falls  IA,187,30,4,43,2022
Watertown-Fort Drum  NY,176,0,3,0,2022
Wenatchee  WA,570,10,36,245,2022
Wheeling  WV-OH,14,4,0,0,2022
Wichita Falls  TX,162,0,0,216,2022
Wilmington  NC,2489,142,14,1776,2022
Yakima  WA,426,40,81,159,2022
Yuma  AZ,728,22,4,98,2022
