ori,agency_name,state_name,data_year,offense,Population,cleared,actual,crime_rate
PAPEP0000,Philadelphia,Pennsylvania,2019,violent-crime,1587828,6261,13934,877.550968996642
PAPEP0000,Philadelphia,Pennsylvania,2020,violent-crime,1587828,5315,14240,896.8225777603116
PAPEP0000,Philadelphia,Pennsylvania,2021,violent-crime,1587828,3497,12321,775.9656587489325
PAPEP0000,Philadelphia,Pennsylvania,2022,violent-crime,1587828,4848,16202,1020.3875986567815
RI0040900,Providence,Rhode Island,2018,violent-crime,179335,171,827,461.1481305935818
RI0040900,Providence,Rhode Island,2019,violent-crime,179335,187,895,499.06599381046647
RI0040900,Providence,Rhode Island,2020,violent-crime,179335,202,870,485.12560292190597
RI0040900,Providence,Rhode Island,2021,violent-crime,179335,183,741,413.19318593693373
RI0040900,Providence,Rhode Island,2022,violent-crime,179335,207,643,358.54685365377645
SC0100100,Charleston,South Carolina,2018,violent-crime,150277,264,413,274.82582164935417
SC0100100,Charleston,South Carolina,2019,violent-crime,150277,278,516,343.36591760548856
SC0100100,Charleston,South Carolina,2020,violent-crime,150277,311,656,436.52721307984586
SC0100100,Charleston,South Carolina,2021,violent-crime,150277,332,622,413.9023270360734
SC0100100,Charleston,South Carolina,2022,violent-crime,150277,355,571,379.96499797041463
SD0490200,Sioux Falls,South Dakota,2018,violent-crime,181883,481,788,433.24554796215153
SD0490200,Sioux Falls,South Dakota,2019,violent-crime,181883,519,897,493.17418340361667
SD0490200,Sioux Falls,South Dakota,2020,violent-crime,181883,641,1119,615.2306702660502
SD0490200,Sioux Falls,South Dakota,2021,violent-crime,181883,627,1031,566.8479187169775
SD0490200,Sioux Falls,South Dakota,2022,violent-crime,181883,661,1092,600.3859624044029
TN0190100,Nashville,Tennessee,2018,violent-crime,681928,3032,7728,1133.2574699968325
TN0190100,Nashville,Tennessee,2019,violent-crime,681928,2895,7515,1102.0225009091869
TN0190100,Nashville,Tennessee,2020,violent-crime,681928,2282,8090,1186.3422531410943
TN0190100,Nashville,Tennessee,2021,violent-crime,681928,2812,8259,1211.1249281449068
TN0190100,Nashville,Tennessee,2022,violent-crime,681928,2500,7491,1098.5030677725508
TXHPD0000,Houston,Texas,2018,violent-crime,2325502,7145,24210,1041.065541977603
TXHPD0000,Houston,Texas,2019,violent-crime,2325502,6785,25499,1096.4944343199877
TXHPD0000,Houston,Texas,2020,violent-crime,2325502,8174,29707,1277.4446119590523
TXHPD0000,Houston,Texas,2021,violent-crime,2325502,7471,28531,1226.8748855085912
TXHPD0000,Houston,Texas,2022,violent-crime,2325502,6587,25987,1117.4791507382063
UT0180300,Salt Lake City,Utah,2018,violent-crime,200591,643,1491,743.3035380450768
UT0180300,Salt Lake City,Utah,2019,violent-crime,200591,589,1459,727.3506787443106
UT0180300,Salt Lake City,Utah,2020,violent-crime,200591,753,1878,936.2334302137185
UT0180300,Salt Lake City,Utah,2021,violent-crime,200591,784,2009,1001.5404479762303
UT0180300,Salt Lake City,Utah,2022,violent-crime,200591,778,1970,982.0979007034214
VT0040100,Burlington,Vermont,2018,violent-crime,44743,68,101,225.7336343115124
VT0040100,Burlington,Vermont,2019,violent-crime,44743,109,157,350.89287709809355
VT0040100,Burlington,Vermont,2020,violent-crime,44743,109,159,355.3628500547572
VT0040100,Burlington,Vermont,2021,violent-crime,44743,104,152,339.71794470643454
VT0040100,Burlington,Vermont,2022,violent-crime,44743,124,183,409.0025255347205
VA1280000,Virginia Beach,Virginia,2018,violent-crime,450189,380,578,128.3905204258656
VA1280000,Virginia Beach,Virginia,2019,violent-crime,450189,396,582,129.2790361381553
VA1280000,Virginia Beach,Virginia,2020,violent-crime,450189,284,459,101.9571779852462
VA1280000,Virginia Beach,Virginia,2021,violent-crime,450189,320,515,114.39639795730238
VA1280000,Virginia Beach,Virginia,2022,violent-crime,450189,243,400,88.85157122897272
WASPD0000,Seattle,Washington,2018,violent-crime,754567,1922,5026,666.077366224603
WASPD0000,Seattle,Washington,2019,violent-crime,754567,1823,5015,664.619576525345
WASPD0000,Seattle,Washington,2020,violent-crime,754567,1631,4881,646.8610474616568
WASPD0000,Seattle,Washington,2021,violent-crime,754567,1840,5924,785.0860162185729
WASPD0000,Seattle,Washington,2022,violent-crime,754567,1929,6115,810.3985464511436
WV0200200,Charleston,West Virginia,2018,violent-crime,47215,82,331,701.0483956369798
WV0200200,Charleston,West Virginia,2019,violent-crime,47215,114,382,809.0649158106534
WV0200200,Charleston,West Virginia,2020,violent-crime,47215,103,424,898.0196971301493
WV0200200,Charleston,West Virginia,2021,violent-crime,47215,84,323,684.1046277665996
WV0200200,Charleston,West Virginia,2022,violent-crime,47215,81,302,639.6272371068517
WIMPD0000,Milwaukee,Wisconsin,2018,violent-crime,592025,3182,8496,1435.074532325493
WIMPD0000,Milwaukee,Wisconsin,2019,violent-crime,592025,2942,7966,1345.5512858409695
WIMPD0000,Milwaukee,Wisconsin,2020,violent-crime,592025,3246,9543,1611.9251720788818
WIMPD0000,Milwaukee,Wisconsin,2021,violent-crime,592025,3669,9520,1608.0402010050252
WIMPD0000,Milwaukee,Wisconsin,2022,violent-crime,592025,2932,8474,1431.3584730374562
WY0110100,Cheyenne,Wyoming,2018,violent-crime,63957,77,207,323.654955673343
WY0110100,Cheyenne,Wyoming,2019,violent-crime,63957,78,220,343.9811123098332
WY0110100,Cheyenne,Wyoming,2020,violent-crime,63957,242,244,381.50632456181495
WY0110100,Cheyenne,Wyoming,2021,violent-crime,63957,56,211,329.90915771534
WY0110100,Cheyenne,Wyoming,2022,violent-crime,63957,43,181,283.00264240036273
AL0030100,Montgomery,Alabama,2018,violent-crime,200603,200,1216,606.1723902434161
AL0030100,Montgomery,Alabama,2020,violent-crime,200603,100,522,260.2154504169928
AL0030100,Montgomery,Alabama,2021,violent-crime,200603,0,8,3.987976251601422
AL0030100,Montgomery,Alabama,2022,violent-crime,200603,0,13,6.48046140885231
AK0010300,Juneau,Alaska,2018,violent-crime,32197,175,264,819.9521694567818
AK0010300,Juneau,Alaska,2019,violent-crime,32197,222,289,897.599155200795
AK0010300,Juneau,Alaska,2020,violent-crime,32197,235,296,919.3403112091188
AK0010300,Juneau,Alaska,2022,violent-crime,32197,135,197,611.8582476628258
AZ0100300,Tucson,Arizona,2018,violent-crime,545975,862,3958,724.9416182059618
AZ0100300,Tucson,Arizona,2019,violent-crime,545975,839,3775,691.4235999816842
AZ0100300,Tucson,Arizona,2020,violent-crime,545975,1111,3843,703.878382709831
AR0720100,Fayetteville,Arkansas,2018,violent-crime,93949,201,500,532.2036424017286
AR0720100,Fayetteville,Arkansas,2019,violent-crime,93949,172,401,426.8273212061863
AR0720100,Fayetteville,Arkansas,2020,violent-crime,93949,207,524,557.7494172370116
AR0720100,Fayetteville,Arkansas,2021,violent-crime,93949,190,568,604.5833377683637
AR0720100,Fayetteville,Arkansas,2022,violent-crime,93949,218,486,517.3019404144802
CA0371100,San Diego,California,2018,violent-crime,1425976,2368,5360,375.8829040600964
CA0371100,San Diego,California,2019,violent-crime,1425976,2203,5215,365.7144299763811
CA0371100,San Diego,California,2020,violent-crime,1425976,1984,5303,371.88564183408414
CA0371100,San Diego,California,2021,violent-crime,1425976,854,5770,404.6351411243948
CA0371100,San Diego,California,2022,violent-crime,1425976,1892,5932,415.99578113516634
CO0210100,Colorado Springs,Colorado,2018,violent-crime,483829,1275,2800,578.7168607090522
